row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,BTEC,score,-0.03721495576236186,1
bar,dza,HABIBI,score,0.002878491798228952,1
dialect_average,dza,__average__,score,-0.017168231982066455,2
bar,egy,BTEC,score,-0.28504229448655105,1
bar,egy,FLORES,score,-0.229657302682403,1
bar,egy,HABIBI,score,-0.3644739607412091,1
dialect_average,egy,__average__,score,-0.2930578526367211,3
bar,kwt,HABIBI,score,-0.00699055807579451,1
dialect_average,kwt,__average__,score,-0.00699055807579451,1
bar,mar,BTEC,score,0.34759048771975337,1
bar,mar,FLORES,score,0.33363893504312747,1
bar,mar,HABIBI,score,0.43469260706173635,1
dialect_average,mar,__average__,score,0.3719740099415391,3
bar,pse,BTEC,score,-0.0540399939632257,1
bar,pse,FLORES,score,-0.019474027013989488,1
bar,pse,HABIBI,score,-0.037602836217029346,1
dialect_average,pse,__average__,score,-0.03703895239808151,3
bar,sau,BTEC,score,-0.024589691091911108,1
bar,sau,FLORES,score,-0.0033537137008998576,1
bar,sau,HABIBI,score,-0.02754489001889003,1
dialect_average,sau,__average__,score,-0.018496098270567,3
bar,sdn,BTEC,score,-0.10618372246574191,1
bar,sdn,HABIBI,score,-0.050374792780375016,1
dialect_average,sdn,__average__,score,-0.07827925762305846,2
bar,syr,BTEC,score,-0.061772407448022724,1
bar,syr,FLORES,score,-0.02781020027650793,1
bar,syr,HABIBI,score,-0.09506301758219463,1
dialect_average,syr,__average__,score,-0.06154854176890843,3
