row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,Cohere,score,-0.004506359631834701,1
bar,dza,Okapi,score,0.04133999652803493,1
bar,dza,ShareGPT,score,0.020816079123513184,1
dialect_average,dza,__average__,score,0.019216572006571137,3
bar,egy,Cohere,score,0.024339059135230573,1
bar,egy,Okapi,score,-0.020535547945397747,1
bar,egy,ShareGPT,score,0.062245184859415714,1
dialect_average,egy,__average__,score,0.02201623201641618,3
bar,kwt,Cohere,score,0.00018568530807443152,1
bar,kwt,Okapi,score,-0.0021332078445072096,1
bar,kwt,ShareGPT,score,0.0026741214156338067,1
dialect_average,kwt,__average__,score,0.00024219962640034285,3
bar,mar,Cohere,score,0.2172074003299835,1
bar,mar,Okapi,score,0.1725430969239898,1
bar,mar,ShareGPT,score,0.23295729041973046,1
dialect_average,mar,__average__,score,0.20756926255790123,3
bar,pse,Cohere,score,0.14858656834040163,1
bar,pse,Okapi,score,0.3060200862962105,1
bar,pse,ShareGPT,score,0.17486375723718728,1
dialect_average,pse,__average__,score,0.20982347062459983,3
bar,sau,Cohere,score,0.005751502567486874,1
bar,sau,Okapi,score,0.005864237935039951,1
bar,sau,ShareGPT,score,0.008018830699325392,1
dialect_average,sau,__average__,score,0.006544857067284073,3
bar,sdn,Cohere,score,0.010410279968602524,1
bar,sdn,Okapi,score,0.028608435844191454,1
bar,sdn,ShareGPT,score,0.019610031590809214,1
dialect_average,sdn,__average__,score,0.019542915801201065,3
bar,syr,Cohere,score,0.2241377539506672,1
bar,syr,Okapi,score,0.23269382077367115,1
bar,syr,ShareGPT,score,0.15817855265266945,1
dialect_average,syr,__average__,score,0.20500337579233593,3
