row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,BTEC,score,0.0,27
bar,dza,Cohere,score,0.0,11
bar,dza,HABIBI,score,0.0,15
bar,dza,Okapi,score,0.0,11
bar,dza,ShareGPT,score,0.0,11
bar,dza,TWEET,score,0.0,11
dialect_average,dza,__average__,score,0.0,6
bar,egy,BTEC,score,0.0,27
bar,egy,Cohere,score,0.0,11
bar,egy,FLORES,score,0.0,27
bar,egy,HABIBI,score,0.0,15
bar,egy,Okapi,score,0.0,11
bar,egy,ShareGPT,score,0.0,11
bar,egy,TWEET,score,0.0,11
dialect_average,egy,__average__,score,0.0,7
bar,kwt,Cohere,score,0.0,9
bar,kwt,HABIBI,score,0.0,13
bar,kwt,Okapi,score,0.0,9
bar,kwt,ShareGPT,score,0.0,9
bar,kwt,TWEET,score,0.0,9
dialect_average,kwt,__average__,score,0.0,5
bar,mar,BTEC,score,0.0,25
bar,mar,Cohere,score,0.0,9
bar,mar,FLORES,score,0.0,25
bar,mar,HABIBI,score,0.0,13
bar,mar,Okapi,score,0.0,9
bar,mar,ShareGPT,score,0.0,9
bar,mar,TWEET,score,0.0,9
dialect_average,mar,__average__,score,0.0,7
bar,pse,BTEC,score,0.0,25
bar,pse,Cohere,score,0.0,9
bar,pse,FLORES,score,0.0,25
bar,pse,HABIBI,score,0.0,13
bar,pse,Okapi,score,0.0,9
bar,pse,ShareGPT,score,0.0,9
bar,pse,TWEET,score,0.0,9
dialect_average,pse,__average__,score,0.0,7
bar,sau,BTEC,score,0.0,27
bar,sau,Cohere,score,0.0,11
bar,sau,FLORES,score,0.0,27
bar,sau,HABIBI,score,0.0,15
bar,sau,Okapi,score,0.0,11
bar,sau,ShareGPT,score,0.0,11
bar,sau,TWEET,score,0.0,11
dialect_average,sau,__average__,score,0.0,7
bar,sdn,BTEC,score,0.0,25
bar,sdn,Cohere,score,0.0,9
bar,sdn,HABIBI,score,0.0,13
bar,sdn,Okapi,score,0.0,9
bar,sdn,ShareGPT,score,0.0,9
bar,sdn,TWEET,score,0.0,9
dialect_average,sdn,__average__,score,0.0,6
bar,syr,BTEC,score,0.0,27
bar,syr,Cohere,score,0.0,11
bar,syr,FLORES,score,0.0,27
bar,syr,HABIBI,score,0.0,15
bar,syr,Okapi,score,0.0,11
bar,syr,ShareGPT,score,0.0,11
bar,syr,TWEET,score,0.0,11
dialect_average,syr,__average__,score,0.0,7
