row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,Cohere,score,0.0183412081216288,1
bar,dza,Okapi,score,0.06858147568360104,1
bar,dza,ShareGPT,score,0.05233437247621034,1
dialect_average,dza,__average__,score,0.04641901876048005,3
bar,egy,Cohere,score,0.22848995612825518,1
bar,egy,Okapi,score,0.30600666720316744,1
bar,egy,ShareGPT,score,0.23053155051052332,1
dialect_average,egy,__average__,score,0.25500939128064865,3
bar,kwt,Cohere,score,0.005783122885060745,1
bar,kwt,Okapi,score,0.013188962431018827,1
bar,kwt,ShareGPT,score,0.010511240690436012,1
dialect_average,kwt,__average__,score,0.009827775335505195,3
bar,mar,Cohere,score,0.1748766608605367,1
bar,mar,Okapi,score,0.21205867297690517,1
bar,mar,ShareGPT,score,0.1864996712564268,1
dialect_average,mar,__average__,score,0.19114500169795623,3
bar,pse,Cohere,score,0.10873797475782676,1
bar,pse,Okapi,score,0.2321237926001133,1
bar,pse,ShareGPT,score,0.07761643212607047,1
dialect_average,pse,__average__,score,0.13949273316133684,3
bar,sau,Cohere,score,0.04336321859679202,1
bar,sau,Okapi,score,0.05098437831904595,1
bar,sau,ShareGPT,score,0.04029165305599916,1
dialect_average,sau,__average__,score,0.04487974999061237,3
bar,sdn,Cohere,score,0.05476019985779256,1
bar,sdn,Okapi,score,0.14508467519058563,1
bar,sdn,ShareGPT,score,0.05725820210622748,1
dialect_average,sdn,__average__,score,0.08570102571820189,3
bar,syr,Cohere,score,0.10669034269289683,1
bar,syr,Okapi,score,0.1544744231278581,1
bar,syr,ShareGPT,score,0.08609357642653506,1
dialect_average,syr,__average__,score,0.11575278074909667,3
