row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,Cohere,score,0.00023764895832216124,1
bar,dza,Okapi,score,0.014200406457309682,1
bar,dza,ShareGPT,score,0.04267005586849831,1
dialect_average,dza,__average__,score,0.01903603709471005,3
bar,egy,Cohere,score,0.41902387523037526,1
bar,egy,Okapi,score,0.5056001432955683,1
bar,egy,ShareGPT,score,0.40519556039698795,1
dialect_average,egy,__average__,score,0.4432731929743105,3
bar,kwt,Cohere,score,0.0010503328005078316,1
bar,kwt,Okapi,score,-0.003952678565509725,1
bar,kwt,ShareGPT,score,0.0129081735344801,1
dialect_average,kwt,__average__,score,0.0033352759231594017,3
bar,mar,Cohere,score,0.08537858430749798,1
bar,mar,Okapi,score,0.14789692032099455,1
bar,mar,ShareGPT,score,0.2267263540458973,1
dialect_average,mar,__average__,score,0.15333395289146326,3
bar,pse,Cohere,score,0.11351616259818118,1
bar,pse,Okapi,score,0.15532610094488572,1
bar,pse,ShareGPT,score,0.11991127895838792,1
dialect_average,pse,__average__,score,0.1295845141671516,3
bar,sau,Cohere,score,0.009251139244570623,1
bar,sau,Okapi,score,0.015227667278386585,1
bar,sau,ShareGPT,score,0.013489390020625198,1
dialect_average,sau,__average__,score,0.012656065514527469,3
bar,sdn,Cohere,score,0.04104558193689964,1
bar,sdn,Okapi,score,0.058572634560139225,1
bar,sdn,ShareGPT,score,0.06493420818465694,1
dialect_average,sdn,__average__,score,0.05485080822723193,3
bar,syr,Cohere,score,0.04073349721356574,1
bar,syr,Okapi,score,0.05139044264853252,1
bar,syr,ShareGPT,score,0.043084279763195135,1
dialect_average,syr,__average__,score,0.045069406541764466,3
