row_type,dialect_code,dataset,metric,delta,num_rows
bar,dza,Cohere,score,0.002291182028736981,1
bar,dza,Okapi,score,-0.0025214534069696523,1
bar,dza,ShareGPT,score,0.012063280083823843,1
dialect_average,dza,__average__,score,0.003944336235197057,3
bar,egy,Cohere,score,-0.10704697905736665,1
bar,egy,Okapi,score,-0.11226247151162426,1
bar,egy,ShareGPT,score,-0.09692942958946917,1
dialect_average,egy,__average__,score,-0.10541296005282003,3
bar,kwt,Cohere,score,-0.0008429850695766527,1
bar,kwt,Okapi,score,-0.0059399904588286765,1
bar,kwt,ShareGPT,score,-0.00046734045324349385,1
dialect_average,kwt,__average__,score,-0.002416771993882941,3
bar,mar,Cohere,score,0.5379076682727448,1
bar,mar,Okapi,score,0.580376236808006,1
bar,mar,ShareGPT,score,0.5610250940758306,1
dialect_average,mar,__average__,score,0.559769666385527,3
bar,pse,Cohere,score,-0.005168537322802421,1
bar,pse,Okapi,score,-0.0030114261857584488,1
bar,pse,ShareGPT,score,-0.008816641811074466,1
dialect_average,pse,__average__,score,-0.005665535106545112,3
bar,sau,Cohere,score,-0.0014070362273521171,1
bar,sau,Okapi,score,8.075100312981282e-05,1
bar,sau,ShareGPT,score,1.6621636635139248e-05,1
dialect_average,sau,__average__,score,-0.0004365545291957217,3
bar,sdn,Cohere,score,-0.01323645620889548,1
bar,sdn,Okapi,score,-0.00293304281287552,1
bar,sdn,ShareGPT,score,-0.004384647292094035,1
dialect_average,sdn,__average__,score,-0.006851382104621678,3
bar,syr,Cohere,score,-0.0028044586529207393,1
bar,syr,Okapi,score,-0.034211718974189634,1
bar,syr,ShareGPT,score,-0.014834422519268935,1
dialect_average,syr,__average__,score,-0.017283533382126435,3
